Timestamp,Total,Owner,Claimed,Unclaimed,Matched,Preempting,Backfill,Drain
1726999973,128,0,125,3,0,0,0,0
1726999974,128,0,125,3,0,0,0,0
1726999975,128,0,125,3,0,0,0,0
1726999976,128,0,128,0,0,0,0,0
1726999978,128,0,128,0,0,0,0,0
1726999979,128,0,128,0,0,0,0,0
1726999981,128,0,128,0,0,0,0,0
1726999983,128,0,128,0,0,0,0,0
1726999984,128,0,128,0,0,0,0,0
1726999985,128,0,128,0,0,0,0,0
1726999987,128,0,125,0,0,3,0,0
1726999988,128,0,121,0,0,7,0,0
1726999990,128,0,121,2,0,5,0,0
1726999991,128,0,121,7,0,0,0,0
1726999992,128,0,121,7,0,0,0,0
1726999994,128,0,121,7,0,0,0,0
1726999995,128,0,121,7,0,0,0,0
1726999997,128,0,128,0,0,0,0,0
1726999998,128,0,128,0,0,0,0,0
1726999999,128,0,127,0,0,1,0,0
1727000001,128,0,126,0,0,2,0,0
1727000002,128,0,126,0,0,2,0,0
1727000003,128,0,126,1,0,1,0,0
1727000005,128,0,126,2,0,0,0,0
1727000007,128,0,126,2,0,0,0,0
1727000008,128,0,126,2,0,0,0,0
1727000010,128,0,126,2,0,0,0,0
1727000011,128,0,126,2,0,0,0,0
1727000012,128,0,126,2,0,0,0,0
1727000014,128,0,126,2,0,0,0,0
1727000015,128,0,126,2,0,0,0,0
1727000016,128,0,128,0,0,0,0,0
1727000018,128,0,128,0,0,0,0,0
1727000019,128,0,128,0,0,0,0,0
1727000020,128,0,128,0,0,0,0,0
1727000022,128,0,128,0,0,0,0,0
1727000023,128,0,128,0,0,0,0,0
1727000025,128,0,128,0,0,0,0,0
1727000026,128,0,128,0,0,0,0,0
1727000028,128,0,128,0,0,0,0,0
1727000029,128,0,128,0,0,0,0,0
1727000030,128,0,127,0,0,1,0,0
1727000032,128,0,127,0,0,1,0,0
1727000033,128,0,127,0,0,1,0,0
1727000034,128,0,126,0,0,2,0,0
1727000035,128,0,125,0,0,3,0,0
1727000036,128,0,125,0,0,3,0,0
1727000038,128,0,125,0,0,3,0,0
1727000039,128,0,125,1,0,2,0,0
1727000040,128,0,125,1,0,2,0,0
1727000041,128,0,125,2,0,1,0,0
